,0
1402,0.0
1403,68.79
1404,21.02
1405,19.22
1406,96.45
1407,0.0
1408,44.34
1409,8.9
1410,67.66
1411,61.6
1412,126.81
1413,0.0
1414,110.24
1415,81.45
1416,120.54
1417,0.0
1418,0.0
1419,84.8
1420,24.37
1421,154.17
1422,43.04
1423,84.69
1424,98.44
1425,32.03
1426,0.0
1427,104.21
1428,923.19
1429,166.35
1430,69.09
1431,167.44
1432,114.0
1433,1145.45
1434,80.45
1435,168.52
1436,232.48
1437,87.14
1438,82.42
1439,112.3
1440,16.39
1441,56.11
1442,385.46
1443,60.2
1444,0.0
1445,98.41
1446,42.68
1447,26.07
1448,218.78
1449,0.0
1450,86.78
1451,17.63
1452,42.37
1453,0.0
1454,36.82
1455,0.0
1456,0.0
1457,24.85
1458,38.6
1459,0.0
1460,70.9
1461,0.0
1462,68.48
1463,50.42
1464,28.26
1465,140.06
1466,24.71
1467,24.06
1468,34.65
1469,36.44
1470,87.03
1471,36.03
1472,32.78
1473,25.79
1474,654.64
1475,81.13
1476,72.32
1477,15.18
1478,245.63
1479,265.3
1480,32.06
1481,39.8
1482,72.98
1483,101.57
1484,0.0
1485,39.6
1486,36.06
1487,28.15
1488,246.29
1489,26.14
1490,24.58
1491,31.85
1492,27.52
1493,24.78
1494,0.0
1495,133.47
1496,0.0
1497,45.96
1498,31.2
1499,23.53
1500,52.01
1501,122.44
1502,24.23
1503,103.41
1504,0.0
1505,142.93
1506,56.62
1507,115.0
1508,29.96
1509,0.0
1510,40.06
1511,0.0
1512,0.0
1513,0.0
1514,68.04
1515,0.0
1516,33.23
1517,159.93
1518,127.01
1519,106.32
1520,0.0
1521,69.88
1522,156.34
1523,18.34
1524,18.08
1525,0.0
1526,0.0
1527,45.37
1528,60.14
1529,0.0
1530,98.23
1531,89.93
1532,19.26
1533,98.19
1534,47.0
1535,443.49
1536,114.2
1537,31.56
1538,90.05
1539,34.93
1540,0.0
1541,0.0
1542,0.0
1543,19.89
1544,30.97
1545,53.65
1546,166.79
1547,36.41
1548,640.22
1549,16.25
1550,0.0
1551,17.16
1552,0.0
1553,505.03
1554,84.05
1555,63.38
1556,8.93
1557,11.37
1558,0.0
1559,9.4
1560,0.0
1561,219.27
1562,108.06
1563,0.0
1564,95.22
1565,32.22
1566,24.9
1567,5.85
1568,32.67
1569,75.56
1570,92.86
1571,198.59
1572,1142.15
1573,56.21
1574,29.14
1575,59.07
1576,31.02
1577,17.92
1578,64.9
1579,34.83
1580,0.0
1581,27.8
1582,0.0
1583,9.2
1584,30.32
1585,0.0
1586,23.97
1587,0.0
1588,0.0
1589,0.0
1590,33.27
1591,28.87
1592,0.0
1593,137.9
1594,75.65
1595,59.51
1596,38.41
1597,12.34
1598,0.0
1599,193.95
1600,225.37
1601,110.65
1602,0.0
1603,0.0
1604,12.87
1605,16.65
1606,0.0
1607,56.65
1608,27.8
1609,21.88
1610,26.3
1611,101.3
1612,19.45
1613,55.16
1614,0.0
1615,46.52
1616,98.3
1617,31.7
1618,0.0
1619,26.53
1620,3049.17
1621,0.0
1622,42.39
1623,290.83
1624,99.28
1625,85.02
1626,23.46
1627,28.65
1628,146.28
1629,75.26
1630,22.06
1631,0.0
1632,36.99
1633,44.1
1634,0.0
1635,19.32
1636,0.0
1637,553.62
1638,68.49
1639,48.77
1640,16.29
1641,0.0
1642,185.71
1643,60.5
1644,70.79
1645,54.56
1646,36.37
1647,56.1
1648,6.76
1649,22.65
1650,49.36
1651,19.3
1652,20.37
1653,8.98
1654,0.0
1655,24.22
1656,21.21
1657,80.74
1658,278.45
1659,49.54
1660,12.07
1661,45.46
1662,54.96
1663,15.3
1664,38.57
1665,878.5
1666,55.12
1667,1004.39
1668,0.0
1669,24.15
1670,107.92
1671,37.82
1672,301.19
1673,55.75
1674,228.34
1675,47.64
1676,56.82
1677,224.64
1678,24.87
1679,104.02
1680,122.29
1681,54.37
1682,324.75
1683,70.49
1684,41.37
1685,31.3
1686,129.9
1687,24.59
1688,13.26
1689,107.57
1690,38.9
1691,23.03
1692,112.34
1693,23.23
1694,39.55
1695,97.06
1696,23.55
1697,0.0
1698,280.92
1699,32.74
1700,0.0
1701,18.72
1702,53.99
1703,64.87
1704,34.47
1705,217.6
1706,368.02
1707,0.0
1708,53.15
1709,77.17
1710,12.66
1711,9.33
1712,50.16
1713,78.75
1714,106.89
1715,20.65
1716,85.89
1717,98.86
1718,15.69
1719,244.09
1720,38.19
1721,243.64
1722,35.22
1723,9.65
1724,33.35
1725,40.74
1726,50.72
1727,0.0
1728,10.61
1729,15.94
1730,144.75
