,esp
1598,0.175
1599,0.04
1600,0.42
1601,0.331
1602,0.43
1603,0.01
1604,0.02
1605,0.088
1606,0.133
1607,0.171
1608,0.055
1609,0.16
1610,0.474
1611,0.039
1612,0.947
1613,0.42
1614,-0.014
1615,0.127
1616,0.756
1617,0.315
1618,1.215
1619,1.45
1620,0.66
1621,0.029
1622,0.183
1623,0.436
1624,0.429
1625,0.129
1626,1.45
1627,0.63
1628,0.223
1629,0.04
1630,0.52
1631,0.107
1632,0.65
1633,-0.13
1634,0.5
1635,0.071
1636,0.551
1637,0.277
1638,0.418
1639,0.28
1640,0.12
1641,0.67
1642,1.912
1643,-0.102
1644,0.46
1645,0.571
1646,0.094
1647,0.08
1648,0.351
1649,0.247
1650,0.29
1651,0.343
1652,0.185
1653,0.366
1654,0.487
1655,0.007
1656,0.718
1657,0.14
1658,0.78
1659,0.54
1660,-0.12
1661,0.476
1662,0.483
1663,0.01
1664,1.58
1665,0.3
1666,0.259
1667,0.82
1668,0.29
1669,0.018
1670,0.132
1671,0.22
1672,0.431
1673,2.26
1674,0.205
1675,0.103
1676,0.376
1677,0.168
1678,0.021
1679,0.32
1680,0.28
1681,1.494
1682,-0.02
1683,1.6
1684,0.76
1685,1.8
1686,0.038
1687,0.308
1688,0.062
1689,0.35
1690,0.649
1691,0.398
1692,0.008
1693,0.491
1694,0.744
1695,-1.44
1696,0.734
1697,0.048
1698,0.487
1699,0.01
1700,0.133
1701,0.063
1702,0.612
1703,1.09
1704,-0.024
1705,0.13
1706,1.17
1707,0.82
1708,2.83
1709,0.241
1710,0.146
1711,0.299
1712,0.27
1713,0.19
1714,0.1
1715,0.347
1716,0.167
1717,0.192
1718,0.233
1719,0.05
1720,0.741
1721,0.32
1722,0.42
1723,0.88
1724,0.479
1725,0.73
1726,1.118
1727,0.1
1728,0.174
1729,-0.092
1730,0.069
1731,0.105
1732,0.609
1733,0.209
1734,0.26
1735,0.123
1736,0.32
1737,-0.102
1738,0.203
1739,0.413
1740,0.038
1741,0.59
1742,0.146
1743,0.052
1744,0.457
1745,-0.023
1746,0.393
1747,0.294
1748,0.3
1749,0.38
1750,0.545
1751,0.182
1752,0.068
1753,0.125
1754,0.238
1755,0.27
1756,0.017
1757,0.075
1758,0.38
1759,0.113
1760,0.109
1761,0.07
1762,0.09
1763,0.15
1764,0.668
1765,0.202
1766,0.34
1767,0.421
1768,1.225
1769,1.12
1770,0.106
1771,0.074
1772,0.61
1773,0.59
1774,0.17
1775,0.05
1776,0.625
1777,0.222
1778,0.66
1779,0.064
1780,0.747
1781,0.5
1782,0.85
1783,0.511
1784,0.288
1785,0.564
1786,0.058
1787,0.305
1788,0.017
1789,1.21
1790,-0.038
1791,0.747
1792,0.118
1793,0.524
1794,-0.044
1795,0.168
1796,0.302
1797,0.192
1798,0.72
1799,0.137
1800,0.247
1801,-0.026
1802,0.23
1803,0.133
1804,2.59
1805,1.11
1806,0.126
1807,0.339
1808,0.748
1809,0.15
1810,0.19
1811,0.228
1812,0.115
1813,0.645
1814,0.059
1815,0.137
1816,0.271
1817,0.303
1818,1.191
1819,0.27
1820,1.3
1821,0.234
1822,0.75
1823,0.15
1824,0.197
1825,-0.549
1826,0.357
1827,0.492
1828,0.037
1829,-0.75
1830,-0.095
1831,0.342
1832,-0.209
1833,0.28
1834,0.13
1835,0.014
1836,0.45
1837,0.274
1838,1.16
1839,0.09
1840,0.722
1841,1.315
1842,0.224
1843,0.084
1844,0.6
1845,0.291
1846,-0.021
1847,0.225
1848,0.53
1849,0.144
1850,0.42
1851,0.043
1852,0.356
1853,0.286
1854,2.24
1855,0.492
1856,0.58
1857,2.201
1858,1.37
1859,0.323
1860,0.712
1861,1.603
1862,0.44
1863,0.3
1864,0.241
1865,0.049
1866,0.06
1867,0.304
1868,0.658
1869,0.481
1870,0.082
1871,0.38
1872,0.05
1873,0.578
1874,0.379
1875,1.387
1876,1.04
1877,0.09
1878,0.57
1879,0.091
1880,0.105
1881,0.44
1882,0.539
1883,0.55
1884,0.116
1885,0.057
1886,0.199
1887,0.17
1888,0.632
1889,-0.007
1890,0.57
1891,0.042
1892,0.238
1893,0.35
1894,0.19
1895,0.23
1896,0.536
1897,-0.018
1898,1.106
1899,0.48
1900,2.61
1901,0.385
1902,0.213
1903,0.014
1904,0.43
1905,0.31
1906,0.479
1907,0.23
1908,0.28
1909,0.1
1910,0.385
1911,0.203
1912,0.05
1913,0.031
1914,0.012
1915,0.044
1916,0.444
1917,0.123
1918,0.48
1919,0.749
1920,0.201
1921,0.05
1922,0.11
1923,0.369
1924,0.109
1925,0.667
1926,0.449
1927,0.245
1928,0.185
1929,1.452
1930,0.18
1931,0.245
1932,0.124
1933,0.146
1934,0.223
1935,0.597
1936,0.15
1937,0.279
1938,0.22
1939,0.41
1940,0.266
1941,0.5
1942,0.336
1943,0.87
1944,0.781
1945,0.81
1946,0.387
1947,0.09
1948,0.115
1949,0.73
1950,0.144
1951,0.167
1952,-0.172
1953,0.592
1954,0.1
1955,0.14
1956,0.019
1957,0.169
1958,1.6
1959,2.264
1960,0.06
1961,0.149
1962,0.055
1963,0.217
1964,0.366
1965,0.11
1966,0.277
1967,0.1
1968,0.462
1969,0.982
1970,0.102
1971,0.182
1972,0.1
1973,0.284
1974,0.473
1975,0.125
1976,0.267
1977,0.187
1978,0.164
1979,0.146
1980,0.65
1981,0.408
1982,-0.044
1983,1.55
1984,0.201
1985,0.051
1986,0.396
1987,0.404
1988,0.346
1989,0.124
1990,0.042
1991,-0.085
1992,0.427
1993,0.063
1994,0.103
1995,1.09
1996,0.55
1997,0.567
1998,-0.087
1999,0.553
2000,0.11
2001,0.011
2002,0.85
2003,0.145
2004,0.166
2005,0.091
2006,-0.076
2007,0.091
2008,0.555
2009,0.15
2010,0.72
2011,0.227
2012,0.024
2013,1.3
2014,0.24
2015,0.212
2016,-0.331
2017,-0.002
2018,0.55
2019,1.15
2020,0.166
2021,0.253
2022,0.102
2023,-0.019
2024,1.64
2025,0.407
2026,1.29
2027,0.161
2028,0.15
2029,0.106
2030,0.425
2031,0.45
2032,3.891
2033,0.455
2034,1.006
2035,0.093
2036,0.188
2037,0.134
2038,1.121
2039,0.08
2040,-0.317
2041,0.018
2042,0.711
2043,0.084
2044,0.192
2045,-0.01
2046,0.48
2047,0.381
2048,0.302
2049,0.203
2050,0.41
2051,0.372
2052,1.359
2053,0.213
2054,0.286
2055,0.52
2056,0.128
2057,2.1
2058,0.18
2059,0.363
2060,0.56
2061,-0.165
2062,0.12
2063,0.274
2064,0.076
2065,0.1
2066,1.318
2067,1.852
2068,0.435
2069,0.378
2070,0.26
2071,-0.458
2072,0.198
2073,0.091
2074,0.76
2075,0.767
2076,-0.766
2077,0.26
2078,0.141
2079,0.159
2080,0.039
2081,0.32
2082,0.654
2083,0.135
2084,0.46
2085,0.113
2086,0.264
2087,0.21
2088,0.72
2089,0.63
2090,0.176
2091,1.012
2092,0.217
2093,0.09
2094,0.044
2095,0.83
2096,0.584
2097,0.2
2098,0.308
2099,0.14
2100,0.001
2101,0.317
2102,0.116
2103,0.434
2104,0.074
2105,0.269
2106,0.32
2107,0.106
2108,0.26
2109,0.062
2110,0.102
2111,0.551
2112,0.196
2113,0.106
2114,0.381
2115,0.15
2116,0.133
