code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300618,寒锐钴业,小金属,江苏,74.28,0.71,1.2,217386.63,186961.77,23365.28,43278.15,3.61,3.91,9.28,29.97,20170306,56197.96,4.68,97.16,575.04,48.9,30.68,19647.0
600555,海航创新,旅游服务,海南,0.0,9.74,13.04,354321.16,174731.7,4925.52,40388.62,0.31,-0.135,1.05,4.81,20010328,-51307.7,-0.39,5.7,-667.82,11.34,-647.75,81506.0
600272,开开实业,中成药,上海,63.18,1.6,2.43,104190.71,52594.92,16773.75,1545.25,0.06,0.159,2.04,4.93,20010228,12456.3,0.51,6.19,81.9,20.71,4.03,30600.0
300157,恒泰艾普,石油开采,北京,46.71,6.14,7.13,694405.38,330194.28,65317.42,245810.34,3.45,0.11,5.36,1.28,20110107,59190.43,0.83,193.74,2014.64,12.15,3.09,38854.0
002104,恒宝股份,元器件,江苏,33.94,5.66,7.12,221634.3,151018.42,31404.95,7875.7,0.11,0.182,2.47,3.33,20070110,79762.61,1.12,7.09,3.42,32.15,13.39,83507.0
300399,京天利,互联网,北京,715.86,0.73,1.52,52448.78,45121.35,3364.09,6345.83,0.42,0.019,2.65,6.72,20141009,19299.65,1.27,17.7,-90.08,31.11,1.11,14995.0
603976,正川股份,医疗保健,重庆,31.59,0.27,1.08,103444.47,70124.05,29017.1,59884.21,5.54,0.596,8.68,2.89,20170822,20481.57,1.9,0.0,0.0,31.87,16.83,15008.0
000068,华控赛格,元器件,深圳,0.0,10.07,10.07,209839.77,120753.38,18124.65,119427.15,1.19,-0.008,0.61,7.45,19970611,-174264.2,-1.73,91.17,73.67,47.4,-4.95,31320.0
600616,金枫酒业,红黄药酒,上海,72.27,5.15,5.15,238017.52,145780.25,61097.48,52993.75,1.03,0.107,3.94,1.97,19920929,91237.38,1.77,-8.23,-18.0,47.43,5.59,35059.0
600640,号百控股,酒店餐饮,上海,40.47,5.89,7.96,624970.0,490725.75,78633.0,257562.16,3.24,0.262,5.52,2.56,19930407,79399.31,1.0,-0.48,55.21,22.73,5.58,29966.0
600667,太极实业,半导体,江苏,39.02,11.91,21.06,1684254.38,964838.81,519571.81,326015.31,1.55,0.198,2.93,2.64,19930728,73518.67,0.35,25.14,79.68,13.56,3.47,84322.0
603939,益丰药房,医药商业,湖南,67.29,3.63,3.63,478255.94,335653.5,31382.84,200733.84,5.53,0.864,8.73,6.66,20150217,74538.17,2.06,28.76,40.03,40.04,6.52,7972.0
300530,达志科技,化工原料,广东,41.33,0.21,0.7,50733.85,39115.05,1447.15,20093.0,2.87,0.626,7.02,4.92,20160809,18745.57,2.68,10.79,30.22,51.52,41.65,8350.0
300164,通源石油,石油开采,陕西,210.06,3.15,4.49,221895.34,100466.2,25267.76,88787.97,1.98,0.024,3.48,1.95,20110113,21901.21,0.49,91.57,24.79,44.31,2.25,20524.0
300374,恒通科技,其他建材,北京,54.26,1.61,2.46,163725.86,88085.81,32451.09,25586.63,1.04,0.23,5.83,2.25,20150319,38042.5,1.55,150.22,272.97,18.97,6.43,19412.0
600238,海南椰岛,红黄药酒,海南,707.9,4.45,4.48,174418.52,139633.19,22147.02,12748.6,0.28,0.008,1.94,3.74,20000120,16944.24,0.38,61.36,105.3,27.46,0.5,29905.0
300278,华昌达,专用机械,湖北,66.62,2.27,5.45,468693.69,295965.59,49968.82,69121.21,1.27,0.117,2.98,3.48,20111216,39690.12,0.73,44.3,-16.65,15.49,2.78,9655.0
300680,隆盛科技,汽车配件,江苏,113.31,0.17,0.68,46213.92,31780.6,10598.8,17261.03,2.54,0.24,4.97,6.07,20170725,8266.24,1.22,0.0,0.0,31.21,11.61,8370.0
000062,深圳华强,批发业,深圳,33.09,6.67,7.21,856549.88,471134.41,30930.9,97174.15,1.35,0.572,5.82,3.25,19970130,224292.3,3.11,49.66,-3.19,16.2,4.97,36600.0
002757,南兴装备,家居用品,广东,38.29,0.38,1.11,105552.92,58261.65,32083.8,35031.4,3.15,0.69,7.67,4.52,20150527,34633.32,3.12,48.39,66.58,28.75,13.96,12888.0
002627,宜昌交运,公共交通,湖北,28.08,1.32,1.85,347867.22,203692.94,63025.18,132383.09,7.15,0.517,14.9,1.3,20111103,41671.4,2.25,25.84,121.97,11.39,5.99,11504.0
000935,四川双马,水泥,四川,115.51,6.29,7.63,573362.63,89074.13,394899.31,99226.86,1.3,0.123,3.68,5.13,19990824,100363.03,1.31,22.67,102.0,19.26,5.04,84678.0
601888,中国国旅,旅游服务,北京,40.66,19.52,19.52,2063642.38,1693854.75,141136.25,384041.53,1.97,0.977,6.89,7.69,20091015,725418.88,3.72,26.14,30.62,28.41,9.2,28190.0
600516,方大炭素,矿物制品,甘肃,12.41,17.19,17.89,1395284.38,1098796.5,161946.52,220074.13,1.23,2.11,5.42,4.63,20020830,549660.63,3.07,248.62,5267.65,76.59,43.36,230100.0
600965,福成股份,农业综合,河北,53.86,5.28,8.19,241159.8,137346.63,55132.25,29767.09,0.36,0.191,2.26,4.55,20040713,67582.15,0.83,-0.76,-15.26,36.57,11.51,21369.0
603960,克来机电,专用机械,上海,94.56,0.4,1.04,58133.2,43866.51,8915.46,18635.67,1.79,0.28,4.22,7.63,20170314,11280.2,1.08,0.0,0.0,32.82,17.21,9857.0
002657,中科金财,软件服务,北京,41.81,2.76,3.38,426394.09,300927.59,3197.54,177320.2,5.25,0.361,8.52,2.36,20120228,71333.03,2.11,-13.49,0.77,36.54,16.59,67939.0
300718,长盛轴承,机械基件,浙江,34.24,0.25,1.0,65926.93,35170.96,21691.15,11251.0,1.13,0.93,10.16,4.18,20171106,33853.01,3.39,0.0,0.0,38.29,22.22,14803.0
603118,共进股份,通信设备,深圳,32.5,7.76,7.82,712661.25,524735.94,107325.22,268649.84,3.44,0.18,5.54,1.37,20150225,86187.28,1.1,9.61,-48.2,11.46,2.54,43631.0
300469,信息发展,软件服务,上海,1426.04,0.29,0.68,116702.22,85441.96,1773.98,22921.82,3.36,0.024,6.68,6.95,20150611,14056.3,2.06,15.63,26.99,42.32,0.48,13401.0
002805,丰元股份,化工原料,山东,62.1,0.54,0.97,72916.31,28726.65,20011.65,15812.97,1.63,0.291,5.89,4.09,20160707,27082.55,2.79,18.94,59.23,24.2,12.6,16235.0
300192,科斯伍德,染料涂料,江苏,356.38,1.74,2.43,170232.69,67703.13,28647.25,20063.38,0.83,0.024,2.91,2.91,20110322,23089.67,0.95,-3.6,-83.99,18.78,1.22,10148.0
300595,欧普康视,医疗保健,安徽,49.73,0.76,1.24,84769.46,71856.96,3970.03,40937.4,3.29,0.95,6.47,9.29,20170117,20604.49,1.66,31.61,29.56,76.06,50.72,6781.0
000007,全新好,酒店餐饮,深圳,358.76,3.09,3.46,43142.18,19406.73,8115.27,15702.4,0.45,0.03,1.1,12.97,19920413,-13167.25,-0.38,20.69,-40.6,66.68,30.32,14453.0
300058,蓝色光标,广告包装,北京,44.34,16.82,21.82,1811730.25,936733.88,12545.46,372544.78,1.71,0.13,3.2,2.36,20100226,185721.31,0.85,26.89,-41.97,19.59,2.66,73766.0
600771,广誉远,中成药,青海,127.26,2.68,3.53,219629.84,167892.52,5412.41,178501.69,5.06,0.293,5.13,9.7,19961105,-35590.15,-1.01,18.94,129.85,79.88,14.04,14609.0
300327,中颖电子,半导体,上海,45.33,2.08,2.1,98077.71,92248.21,2788.78,35170.53,1.67,0.636,3.72,7.76,20120613,18933.88,0.9,32.46,24.16,43.05,19.49,28369.0
300450,先导智能,专用机械,江苏,58.14,1.69,4.4,665110.5,504592.5,20892.09,140465.92,3.19,1.29,6.32,11.23,20150518,82884.05,1.88,101.75,84.93,41.14,24.69,19300.0
601600,中国铝业,铝,北京,47.9,109.6,149.04,20014662.0,6834930.5,8621373.0,1956942.75,1.31,0.092,2.51,1.76,20070430,-336809.5,-0.23,24.86,274.16,8.31,0.77,485188.0
002841,视源股份,元器件,广东,43.64,0.41,4.07,541879.5,463160.06,44692.76,81343.8,2.0,1.49,6.17,13.82,20170119,123421.35,3.03,23.2,0.28,21.11,7.99,9326.0
300532,今天国际,软件服务,深圳,49.63,0.66,1.54,130087.32,105114.25,7150.56,34775.92,2.26,0.605,5.09,5.9,20160818,28943.9,1.88,42.89,70.58,36.77,16.36,13582.0
600536,中国软件,软件服务,北京,107.76,4.95,4.95,527127.13,407496.34,54277.92,97567.46,1.97,0.151,4.26,3.83,20020517,61044.38,1.23,9.12,-26.79,38.19,1.52,43198.0
